date,action,shares,price,cost,signal,proceeds
2022-07-21,BUY,13,218.93582910505518,2850.4350270332657,1.0,
2022-07-27,SELL,13,228.6847463267434,,-1.0,2968.4423496942927
2022-07-31,BUY,4,263.2838454920294,1054.7150850410696,0.5,
2022-09-01,SELL,4,236.12167234641552,,-1.0,943.0699593515836
2022-09-20,BUY,10,301.9235330592679,3023.7641835885674,1.0,
2023-03-31,SELL,10,585.8533621065167,,-1.0,5849.74582063357
2023-05-01,BUY,1,613.9934771537664,614.914467369497,0.5,
2023-06-03,SELL,1,570.24957242177,,-1.0,569.3941980631374
2023-07-22,BUY,5,554.8645602422685,2778.484285413159,1.0,
2023-08-10,SELL,5,572.4932837417718,,-0.5,2858.172719080796
2023-08-12,BUY,2,566.8248190912893,1135.3501126398523,0.5,
2023-08-31,SELL,2,522.791196893262,,-1.0,1044.0140201958443
2023-09-25,BUY,2,603.0124515631086,1207.8339404809062,0.5,
